
'https://github.com/AeonDave/doork.git'												Passive Vulnerability Auditor 
'https://github.com/SECFORCE/sparta'												Network Infrastructure Penetration Testing Tool 
'https://github.com/secretsquirrel/the-backdoor-factory.git'						The-backdoor-factory
'https://github.com/sensepost/autoresponder.git'									Quick python script to automatically load NTLM hashes from Responder logs and fires up Hashcat to crack them 
'https://github.com/SilentGhostX/HT-WPS-Breaker.git'								High Touch WPS Breaker
'https://github.com/sqlmapproject/sqlmap.git'										SQLMAP-DEV
'https://github.com/sullo/nikto.git'												Nikto
'https://github.com/Tle7839/wifiphiser.git'											Wfiphiser
'https://github.com/torque59/Nosql-Exploitation-Framework.git'						Nosql-Exploitation-Framework
'https://github.com/trustedsec/social-engineer-toolkit/'							SET
'https://github.com/trustedsec/unicorn.git'											Unicorn is a simple tool for using a PowerShell downgrade attack and inject shellcode straight into memory
'https://github.com/Veil-Framework/Veil.git'										Veil is a tool designed to generate metasploit payloads that bypass common anti-virus solutions.
'https://github.com/vnik5287/wpa-autopwn.git'										Wpa-autopwn
'https://github.com/xtr4nge/FruityC2-Client.git'									FruityC2 - command center client
'https://github.com/xtr4nge/FruityC2.git'											FruityC2 - command center
'https://github.com/xtr4nge/FruityWifi.git'											FruityWiFi is a wireless network auditing tool.
'https://github.com/xtr4nge/giskismet.git'											giskismet – Wireless recon visualization tool 
'https://github.com/xtr4nge/sslstrip.git'											A tool for exploiting Moxie Marlinspike's SSL stripping attack.
'https://github.com/yehia-mamdouh/XSSYA.git'										XSSYA (Cross Site Scripting Scanner & Vulnerability Confirmation) 
'https://github.com/ytisf/PyExfil.git'												A Python Package for Data Exfiltration
'https://github.com/4shadoww/usploit.git'											Hakku Framework penetration testing 
